EmployeeNumber,Department,EnvironmentSatisfaction,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
45,Research & Development,Medium,Research Scientist,Excellent,2,0,2293
46,Research & Development,Very High,Research Scientist,Excellent,5,3,2645
47,Sales,Low,Sales Representative,Excellent,3,2,2683
49,Sales,Very High,Sales Representative,Excellent,2,2,2014
51,Research & Development,Medium,Research Scientist,Excellent,1,1,3419
52,Sales,High,Sales Executive,Excellent,5,3,5376
53,Research & Development,High,Laboratory Technician,Excellent,1,0,1951
54,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2341
55,Research & Development,Low,Laboratory Technician,Excellent,1,0,2293
56,Sales,Very High,Sales Executive,Excellent,9,8,8726
57,Research & Development,High,Laboratory Technician,Outstanding,12,8,4011
58,Research & Development,Medium,Research Director,Excellent,22,15,19545
60,Sales,Medium,Sales Executive,Outstanding,9,5,4568
61,Research & Development,Medium,Research Scientist,Outstanding,1,0,3022
62,Sales,Low,Sales Executive,Outstanding,9,6,5772
63,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2269
64,Research & Development,Low,Laboratory Technician,Excellent,1,0,5381
65,Research & Development,High,Laboratory Technician,Excellent,2,2,3441
68,Sales,Medium,Sales Executive,Outstanding,4,3,5454
70,Research & Development,High,Healthcare Representative,Excellent,4,0,9884
72,Sales,High,Sales Executive,Excellent,2,2,4157
73,Research & Development,Low,Research Director,Excellent,15,14,13458
74,Sales,Medium,Sales Executive,Outstanding,9,8,9069
75,Research & Development,High,Laboratory Technician,Excellent,2,2,4014
76,Research & Development,Very High,Laboratory Technician,Outstanding,7,7,5915
77,Research & Development,Low,Manufacturing Director,Excellent,7,5,5993
78,Research & Development,Low,Manufacturing Director,Outstanding,9,8,6162
79,Research & Development,Very High,Laboratory Technician,Excellent,10,3,2406
80,Research & Development,Medium,Research Director,Excellent,27,3,18740
81,Sales,Low,Sales Executive,Excellent,21,16,7637
83,Research & Development,High,Healthcare Representative,Excellent,17,14,10096
84,Research & Development,Very High,Manager,Excellent,5,0,14756
85,Research & Development,Medium,Manufacturing Director,Excellent,6,5,6499
86,Research & Development,Medium,Research Scientist,Excellent,1,0,9724
88,Research & Development,Medium,Research Scientist,Excellent,3,2,2194
90,Research & Development,Very High,Research Scientist,Excellent,1,0,3388
91,Sales,Low,Sales Executive,Excellent,4,3,5473
94,Research & Development,High,Research Scientist,Outstanding,5,4,2703
95,Research & Development,High,Research Scientist,Excellent,1,1,2501
96,Research & Development,Medium,Research Scientist,Excellent,10,4,6220
97,Research & Development,Medium,Laboratory Technician,Excellent,1,0,3038
98,Research & Development,High,Manufacturing Director,Outstanding,11,7,4424
100,Sales,High,Sales Executive,Excellent,15,13,4312
101,Research & Development,Very High,Research Director,Excellent,0,0,13245
102,Research & Development,Low,Research Director,Excellent,5,2,13664
103,Human Resources,Medium,Human Resources,Outstanding,4,2,5021
104,Research & Development,Very High,Laboratory Technician,Excellent,10,8,5126
105,Research & Development,Medium,Research Scientist,Excellent,6,4,2859
106,Sales,Low,Sales Executive,Excellent,1,0,10239
107,Research & Development,Medium,Research Scientist,Excellent,13,11,5329
110,Research & Development,Low,Manufacturing Director,Excellent,5,2,4325
112,Research & Development,Very High,Manufacturing Director,Excellent,6,4,7260
113,Sales,High,Sales Representative,Excellent,0,0,2322
116,Research & Development,Very High,Laboratory Technician,Outstanding,4,2,2075
117,Research & Development,High,Healthcare Representative,Excellent,11,10,4152
118,Sales,High,Sales Executive,Excellent,9,8,9619
119,Research & Development,High,Healthcare Representative,Outstanding,22,3,13503
120,Sales,High,Sales Executive,Outstanding,10,7,5441
121,Sales,High,Sales Executive,Excellent,11,8,5209
124,Research & Development,High,Healthcare Representative,Excellent,10,9,10673
125,Sales,Medium,Sales Executive,Excellent,11,8,5010
126,Research & Development,Low,Research Director,Excellent,4,3,13549
128,Sales,Low,Sales Executive,Outstanding,3,2,4999
129,Sales,Medium,Sales Executive,Excellent,5,4,4221
131,Sales,Very High,Sales Executive,Excellent,37,10,13872
132,Research & Development,Medium,Laboratory Technician,Excellent,3,2,2042
133,Human Resources,High,Human Resources,Outstanding,3,2,2073
134,Research & Development,Very High,Research Scientist,Excellent,1,0,2956
137,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2926
138,Research & Development,Low,Research Scientist,Excellent,16,13,4809
139,Research & Development,High,Healthcare Representative,Excellent,1,0,5163
140,Human Resources,High,Manager,Outstanding,3,2,18844
141,Research & Development,Low,Research Director,Excellent,8,3,18172
142,Sales,High,Sales Executive,Excellent,6,4,5744
143,Research & Development,Very High,Research Scientist,Excellent,2,2,2889
144,Research & Development,Medium,Laboratory Technician,Excellent,0,0,2871
145,Research & Development,Low,Healthcare Representative,Outstanding,13,12,7484
147,Research & Development,Low,Laboratory Technician,Outstanding,9,7,6074
148,Human Resources,Very High,Manager,Excellent,5,3,17328
150,Research & Development,Medium,Laboratory Technician,Excellent,5,3,2774
151,Research & Development,High,Research Scientist,Excellent,1,0,4505
152,Sales,High,Sales Executive,Excellent,5,3,7428
153,Research & Development,High,Manager,Excellent,11,10,11631
154,Sales,Medium,Sales Executive,Excellent,9,7,9738
155,Research & Development,Low,Laboratory Technician,Outstanding,1,0,2835
158,Sales,High,Manager,Excellent,25,12,16959
159,Research & Development,Low,Research Scientist,Outstanding,10,7,2613
160,Sales,High,Sales Executive,Excellent,7,7,6146
161,Research & Development,Medium,Research Scientist,Excellent,5,4,4963
162,Research & Development,Low,Research Director,Excellent,20,18,19537
163,Sales,Medium,Sales Executive,Excellent,7,7,6172
164,Research & Development,High,Research Scientist,Excellent,5,4,2368
165,Research & Development,Very High,Healthcare Representative,Excellent,40,10,10312
167,Sales,Very High,Sales Representative,Excellent,0,0,1675
169,Research & Development,High,Laboratory Technician,Excellent,2,1,2523
170,Research & Development,High,Manufacturing Director,Excellent,15,11,6567
171,Research & Development,Medium,Research Scientist,Excellent,3,2,4739
174,Sales,High,Sales Executive,Excellent,2,2,9208
175,Sales,Medium,Sales Executive,Excellent,2,2,4559
176,Sales,High,Sales Executive,Excellent,9,7,8189
177,Human Resources,High,Human Resources,Outstanding,8,7,2942
178,Research & Development,Medium,Manufacturing Director,Outstanding,3,2,4941
179,Research & Development,Low,Manufacturing Director,Excellent,4,2,10650
182,Sales,Very High,Sales Executive,Excellent,15,11,5902
183,Sales,Low,Sales Executive,Excellent,2,2,8639
184,Human Resources,High,Human Resources,Excellent,11,9,6347
190,Research & Development,Low,Laboratory Technician,Outstanding,5,4,4200
192,Research & Development,High,Research Scientist,Excellent,6,5,3452
193,Research & Development,Very High,Research Scientist,Outstanding,3,2,4317
194,Research & Development,Low,Research Scientist,Excellent,5,4,2632
195,Sales,Very High,Sales Executive,Excellent,8,7,4668
197,Research & Development,Very High,Research Scientist,Excellent,3,2,3204
198,Research & Development,Medium,Laboratory Technician,Excellent,5,3,2720
199,Research & Development,Very High,Manager,Excellent,7,6,17181
200,Research & Development,High,Laboratory Technician,Outstanding,5,0,2238
201,Research & Development,Medium,Laboratory Technician,Excellent,1,0,1483
202,Research & Development,Medium,Research Scientist,Excellent,20,7,5605
204,Sales,High,Sales Executive,Excellent,10,8,7295
205,Sales,Medium,Sales Representative,Outstanding,7,7,2306
206,Research & Development,Medium,Laboratory Technician,Excellent,17,9,2348
207,Sales,Medium,Sales Executive,Excellent,9,8,8998
208,Research & Development,Very High,Manufacturing Director,Excellent,10,7,4319
211,Research & Development,Medium,Manufacturing Director,Excellent,1,0,6132
214,Research & Development,Medium,Research Scientist,Outstanding,1,0,3346
215,Sales,High,Sales Executive,Excellent,12,11,10855
216,Sales,High,Sales Representative,Excellent,4,3,2231
217,Research & Development,High,Research Scientist,Outstanding,2,2,2323
218,Research & Development,Very High,Research Scientist,Excellent,2,2,2024
221,Research & Development,High,Research Scientist,Excellent,5,2,2713
223,Research & Development,High,Healthcare Representative,Excellent,5,3,9439
224,Research & Development,High,Research Scientist,Excellent,1,1,2566
226,Research & Development,High,Manager,Excellent,5,4,19926
227,Research & Development,Low,Research Scientist,Excellent,9,8,2451
228,Sales,Medium,Sales Executive,Excellent,10,9,9419
230,Sales,Low,Sales Executive,Outstanding,8,3,8686
231,Research & Development,High,Research Scientist,Outstanding,5,4,3038
233,Research & Development,High,Research Scientist,Excellent,5,2,3058
235,Sales,High,Sales Representative,Outstanding,0,0,2325
238,Research & Development,Very High,Laboratory Technician,Excellent,8,7,2088
239,Research & Development,High,Laboratory Technician,Excellent,12,9,3072
240,Sales,High,Sales Executive,Excellent,5,4,5006
241,Research & Development,High,Research Scientist,Excellent,2,2,4257
242,Research & Development,High,Research Scientist,Excellent,3,1,2500
243,Research & Development,Medium,Laboratory Technician,Outstanding,1,0,1102
244,Sales,Medium,Sales Executive,Outstanding,24,13,10453
245,Research & Development,High,Laboratory Technician,Excellent,2,2,2288
246,Research & Development,High,Research Scientist,Outstanding,4,2,3929
247,Research & Development,Very High,Research Scientist,Excellent,3,2,2311
248,Sales,Medium,Sales Representative,Outstanding,4,3,3140
249,Research & Development,High,Laboratory Technician,Excellent,3,2,3690
250,Research & Development,Very High,Manufacturing Director,Excellent,4,2,4450
252,Research & Development,Very High,Research Scientist,Excellent,8,7,2756
253,Research & Development,Very High,Manager,Excellent,20,8,19033
254,Research & Development,High,Research Director,Excellent,24,15,18722
256,Research & Development,Very High,Manufacturing Director,Excellent,10,9,9547
258,Research & Development,Very High,Healthcare Representative,Excellent,7,7,13734
259,Research & Development,High,Manager,Excellent,33,18,19999
260,Research & Development,Very High,Research Scientist,Excellent,7,7,2279
261,Research & Development,Medium,Manufacturing Director,Excellent,1,0,5916
262,Research & Development,Very High,Research Scientist,Excellent,5,4,2089
264,Research & Development,Low,Manager,Outstanding,20,8,16792
267,Research & Development,Medium,Research Scientist,Excellent,8,7,3564
269,Research & Development,Medium,Laboratory Technician,Excellent,6,2,4425
270,Research & Development,High,Manufacturing Director,Excellent,5,3,5265
271,Research & Development,Very High,Manufacturing Director,Excellent,1,0,6553
273,Research & Development,Very High,Manufacturing Director,Excellent,7,7,6261
274,Research & Development,High,Manufacturing Director,Excellent,2,2,4298
275,Research & Development,Very High,Manufacturing Director,Excellent,7,7,6804
277,Research & Development,Very High,Research Scientist,Excellent,5,3,3815
281,Research & Development,High,Laboratory Technician,Excellent,7,2,2741
282,Research & Development,Medium,Healthcare Representative,Excellent,1,0,6673
283,Sales,Medium,Sales Executive,Outstanding,10,4,7639
284,Research & Development,Very High,Research Scientist,Excellent,4,2,2328
286,Research & Development,Medium,Laboratory Technician,Excellent,8,1,2153
287,Research & Development,Very High,Healthcare Representative,Excellent,3,2,4876
288,Research & Development,Very High,Healthcare Representative,Excellent,4,2,9396
291,Sales,Very High,Sales Executive,Excellent,14,8,10400
292,Research & Development,High,Manufacturing Director,Outstanding,11,8,8474
293,Sales,Very High,Sales Executive,Excellent,7,7,9981
296,Research & Development,Medium,Research Director,Excellent,10,9,12490
297,Research & Development,Very High,Research Scientist,Excellent,5,2,2657
298,Sales,Very High,Manager,Excellent,1,0,13591
299,Sales,High,Sales Executive,Excellent,6,3,6696
300,Research & Development,High,Research Scientist,Excellent,6,2,2058
302,Sales,Very High,Sales Executive,Excellent,19,7,8865
303,Sales,Very High,Sales Executive,Excellent,6,2,5940
304,Research & Development,Very High,Laboratory Technician,Excellent,13,11,5914
305,Research & Development,High,Research Scientist,Outstanding,3,2,2622
306,Research & Development,Medium,Research Director,Excellent,10,8,12185
307,Sales,Low,Sales Executive,Excellent,16,10,10609
308,Research & Development,High,Manufacturing Director,Excellent,5,4,4345
309,Research & Development,High,Research Scientist,Excellent,1,0,2177
311,Sales,Low,Sales Representative,Excellent,9,8,2793
312,Sales,Medium,Sales Executive,Excellent,11,10,7918
314,Sales,High,Sales Executive,Excellent,10,7,8789
315,Research & Development,High,Research Scientist,Excellent,4,3,2389
316,Research & Development,High,Laboratory Technician,Excellent,2,2,3212
319,Research & Development,High,Manager,Excellent,22,17,19232
321,Human Resources,Medium,Human Resources,Excellent,2,2,2267
323,Sales,Very High,Manager,Excellent,7,0,19517
325,Research & Development,High,Laboratory Technician,Excellent,5,4,2436
327,Sales,Very High,Manager,Outstanding,17,13,16064
328,Research & Development,Low,Laboratory Technician,Outstanding,9,7,2707
329,Sales,Low,Manager,Excellent,33,7,19068
330,Sales,High,Sales Representative,Excellent,4,3,3931
331,Research & Development,Very High,Laboratory Technician,Excellent,3,2,3730
332,Research & Development,High,Laboratory Technician,Excellent,3,2,2232
333,Sales,High,Sales Executive,Excellent,3,2,4465
334,Research & Development,High,Research Scientist,Excellent,1,0,3072
335,Research & Development,Low,Research Scientist,Excellent,9,8,3319
336,Research & Development,High,Manager,Excellent,24,0,19202
337,Research & Development,Medium,Research Director,Excellent,2,2,13675
338,Research & Development,High,Research Scientist,Excellent,2,2,2911
339,Research & Development,Very High,Manufacturing Director,Excellent,11,9,5957
340,Research & Development,High,Research Scientist,Excellent,3,1,3920
341,Research & Development,Low,Manufacturing Director,Excellent,3,2,6434
342,Research & Development,Low,Manufacturing Director,Excellent,1,0,10048
343,Research & Development,High,Healthcare Representative,Outstanding,19,6,10938
346,Research & Development,High,Research Scientist,Excellent,6,5,2340
347,Research & Development,Very High,Research Scientist,Excellent,3,2,6545
349,Sales,Very High,Sales Executive,Excellent,3,2,6931
350,Research & Development,Low,Manufacturing Director,Excellent,4,2,4898
351,Research & Development,Very High,Laboratory Technician,Excellent,9,6,2593
352,Research & Development,Low,Research Director,Excellent,21,7,19436
353,Research & Development,High,Research Scientist,Excellent,1,0,2723
355,Research & Development,High,Laboratory Technician,Excellent,5,4,3479
359,Research & Development,Medium,Laboratory Technician,Outstanding,5,1,2794
361,Sales,Very High,Sales Executive,Excellent,8,7,5249
362,Research & Development,Very High,Laboratory Technician,Excellent,6,2,2176
363,Sales,High,Manager,Excellent,7,7,16872
364,Research & Development,Low,Laboratory Technician,Excellent,0,0,3485
366,Sales,Low,Sales Executive,Excellent,0,0,6644
367,Research & Development,Medium,Healthcare Representative,Outstanding,9,0,5582
369,Research & Development,Medium,Healthcare Representative,Excellent,6,3,4000
372,Research & Development,High,Healthcare Representative,Excellent,20,7,13496
373,Research & Development,Very High,Laboratory Technician,Excellent,15,13,3210
374,Research & Development,Very High,Manager,Excellent,36,10,19045
376,Research & Development,Low,Manager,Excellent,10,7,11849
377,Research & Development,Very High,Research Scientist,Outstanding,5,2,2070
378,Sales,High,Sales Executive,Excellent,5,4,6502
379,Research & Development,Very High,Research Scientist,Excellent,3,2,3230
380,Research & Development,Low,Research Director,Excellent,5,2,13603
381,Research & Development,Medium,Manager,Excellent,7,7,11996
382,Sales,Low,Sales Executive,Outstanding,8,0,5605
384,Research & Development,High,Manufacturing Director,Outstanding,6,5,6397
385,Research & Development,Low,Research Director,Excellent,10,4,19144
386,Research & Development,High,Research Director,Excellent,5,3,17584
387,Sales,Medium,Sales Executive,Outstanding,20,16,4907
388,Sales,Medium,Sales Executive,Excellent,10,7,4554
389,Research & Development,Medium,Laboratory Technician,Excellent,10,7,5415
390,Research & Development,Low,Healthcare Representative,Excellent,5,3,4741
391,Research & Development,Very High,Research Scientist,Excellent,17,12,2115
392,Research & Development,Very High,Laboratory Technician,Outstanding,1,0,3161
393,Research & Development,Very High,Healthcare Representative,Excellent,2,2,5745
394,Research & Development,Low,Laboratory Technician,Excellent,3,2,2373
395,Research & Development,Very High,Research Scientist,Outstanding,5,3,3310
396,Research & Development,High,Research Director,Excellent,3,2,18665
397,Research & Development,High,Research Scientist,Excellent,8,0,4485
399,Sales,Very High,Sales Representative,Excellent,2,2,2789
401,Sales,Very High,Sales Executive,Excellent,8,7,5828
403,Research & Development,Medium,Research Scientist,Excellent,4,2,2326
404,Sales,High,Sales Executive,Excellent,20,4,13525
405,Research & Development,High,Laboratory Technician,Excellent,0,0,1420
406,Sales,High,Sales Executive,Excellent,11,9,8020
407,Research & Development,High,Laboratory Technician,Excellent,1,0,3688
408,Research & Development,Very High,Manufacturing Director,Excellent,4,1,5482
410,Sales,Very High,Manager,Excellent,22,10,16015
411,Sales,Very High,Sales Representative,Excellent,0,0,1200
412,Research & Development,Medium,Healthcare Representative,Excellent,8,3,5661
416,Sales,Medium,Sales Executive,Excellent,8,7,6929
417,Research & Development,High,Healthcare Representative,Excellent,18,10,9613
419,Research & Development,Medium,Laboratory Technician,Excellent,9,8,5674
420,Sales,Very High,Sales Executive,Excellent,13,8,5484
421,Research & Development,Low,Research Director,Excellent,10,8,12061
422,Research & Development,Very High,Healthcare Representative,Excellent,5,3,5660
423,Research & Development,High,Research Scientist,Excellent,5,2,4821
424,Human Resources,Low,Human Resources,Excellent,2,2,6410
425,Research & Development,Low,Laboratory Technician,Excellent,24,9,5210
426,Research & Development,High,Research Scientist,Excellent,2,2,2695
428,Research & Development,Very High,Manager,Excellent,10,6,11878
429,Research & Development,High,Manager,Excellent,21,9,17068
430,Research & Development,High,Laboratory Technician,Excellent,8,7,2455
431,Research & Development,High,Healthcare Representative,Excellent,7,1,13964
433,Research & Development,High,Research Scientist,Excellent,8,2,4941
434,Research & Development,High,Research Scientist,Excellent,4,3,2478
436,Sales,High,Sales Executive,Excellent,13,12,5228
437,Sales,Very High,Sales Executive,Excellent,5,4,4478
438,Sales,Very High,Sales Executive,Excellent,7,7,7547
439,Research & Development,Low,Research Scientist,Excellent,7,7,5055
440,Research & Development,Low,Research Scientist,Excellent,3,2,3464
441,Research & Development,Very High,Research Scientist,Excellent,10,8,5775
442,Research & Development,High,Manufacturing Director,Outstanding,10,9,8943
444,Research & Development,High,Manager,Excellent,21,9,19272
445,Sales,Very High,Sales Executive,Excellent,1,0,5238
446,Sales,Medium,Sales Executive,Excellent,7,7,4682
447,Research & Development,Very High,Research Director,Excellent,3,2,18300
448,Research & Development,High,Laboratory Technician,Excellent,9,7,5257
449,Sales,High,Sales Executive,Excellent,5,4,6349
450,Research & Development,Very High,Research Scientist,Excellent,4,3,4869
451,Research & Development,High,Healthcare Representative,Excellent,1,0,9985
452,Research & Development,Very High,Research Scientist,Excellent,10,9,3697
453,Sales,Medium,Sales Executive,Outstanding,4,3,7457
454,Research & Development,Medium,Laboratory Technician,Excellent,7,7,2119
455,Research & Development,Medium,Laboratory Technician,Excellent,3,2,3983
456,Sales,Very High,Sales Executive,Excellent,10,9,6118
458,Sales,Medium,Sales Executive,Excellent,8,7,6214
460,Research & Development,Very High,Manufacturing Director,Excellent,6,2,6347
461,Research & Development,High,Research Director,Excellent,11,10,11510
462,Research & Development,High,Manufacturing Director,Excellent,11,9,7143
463,Sales,Very High,Sales Executive,Excellent,7,7,8268
464,Research & Development,High,Manufacturing Director,Excellent,16,6,8095
465,Research & Development,High,Research Scientist,Excellent,4,2,2904
466,Research & Development,Very High,Manufacturing Director,Excellent,5,4,6032
467,Sales,Medium,Sales Representative,Excellent,0,0,2976
468,Research & Development,Low,Research Director,Excellent,1,0,15992
469,Sales,Very High,Sales Executive,Excellent,4,3,4649
470,Human Resources,High,Human Resources,Excellent,3,2,2696
471,Research & Development,High,Laboratory Technician,Excellent,8,0,2370
473,Sales,Low,Manager,Outstanding,0,0,12504
474,Research & Development,High,Research Scientist,Excellent,7,7,5974
475,Sales,Very High,Sales Executive,Excellent,2,2,4736
476,Sales,High,Sales Executive,Excellent,8,7,5296
477,Research & Development,Low,Healthcare Representative,Outstanding,1,0,6781
478,Sales,Low,Sales Representative,Excellent,3,2,2174
479,Sales,Very High,Sales Executive,Excellent,1,0,6653
481,Sales,Low,Sales Executive,Excellent,13,9,9699
482,Research & Development,Very High,Healthcare Representative,Excellent,3,2,6755
483,Research & Development,Very High,Laboratory Technician,Excellent,7,7,2213
484,Sales,Low,Sales Representative,Outstanding,3,2,2610
485,Sales,Very High,Sales Representative,Excellent,1,0,2851
486,Research & Development,High,Laboratory Technician,Outstanding,5,4,3452
487,Research & Development,High,Manufacturing Director,Excellent,1,0,5258
488,Sales,Low,Sales Executive,Excellent,8,7,9355
491,Research & Development,Very High,Healthcare Representative,Excellent,4,3,10496
492,Sales,High,Sales Executive,Excellent,6,4,6380
493,Research & Development,High,Research Scientist,Excellent,2,2,2657
494,Sales,High,Sales Representative,Excellent,1,0,2716
495,Research & Development,Very High,Research Scientist,Excellent,3,2,2201
496,Research & Development,High,Healthcare Representative,Excellent,1,1,6540
497,Research & Development,Very High,Laboratory Technician,Excellent,5,2,3816
498,Sales,Medium,Sales Executive,Excellent,7,5,5253
499,Research & Development,Medium,Healthcare Representative,Outstanding,5,2,10965
500,Sales,High,Sales Executive,Excellent,7,7,4936
501,Research & Development,Very High,Research Scientist,Excellent,2,2,2543
502,Sales,Low,Sales Executive,Excellent,5,2,5304
505,Research & Development,High,Manager,Excellent,5,4,16659
507,Sales,Very High,Sales Executive,Excellent,5,2,4260
508,Sales,High,Sales Representative,Excellent,1,0,2476
510,Research & Development,High,Research Scientist,Outstanding,6,4,3102
511,Research & Development,Low,Research Scientist,Excellent,2,1,2244
513,Sales,Medium,Sales Executive,Excellent,10,9,7596
514,Research & Development,High,Research Scientist,Outstanding,1,0,2285
515,Research & Development,Very High,Laboratory Technician,Excellent,18,7,3034
516,Sales,Very High,Sales Executive,Excellent,5,4,5715
517,Research & Development,Medium,Laboratory Technician,Excellent,5,2,2576
518,Research & Development,High,Manufacturing Director,Excellent,1,0,4197
520,Research & Development,Low,Research Director,Excellent,25,10,14336
521,Research & Development,Medium,Laboratory Technician,Outstanding,1,0,3448
522,Research & Development,Low,Research Director,Excellent,4,2,19406
523,Sales,High,Sales Executive,Excellent,3,2,6538
524,Research & Development,Medium,Manufacturing Director,Excellent,13,10,4306
525,Research & Development,Very High,Laboratory Technician,Outstanding,3,2,2258
526,Research & Development,High,Healthcare Representative,Excellent,5,2,4522
527,Sales,Medium,Sales Executive,Excellent,5,4,4487
529,Research & Development,Medium,Research Scientist,Excellent,13,11,4449
530,Research & Development,Very High,Laboratory Technician,Excellent,4,2,2218
531,Research & Development,Medium,Manager,Excellent,21,8,19197
532,Sales,High,Sales Executive,Excellent,7,7,13212
533,Sales,Medium,Sales Executive,Excellent,5,4,6577
534,Sales,Medium,Sales Executive,Excellent,10,7,8392
536,Research & Development,High,Laboratory Technician,Excellent,10,0,4558
538,Research & Development,Low,Laboratory Technician,Excellent,2,2,4031
543,Research & Development,Very High,Manufacturing Director,Excellent,5,4,7969
544,Research & Development,Low,Research Scientist,Outstanding,2,2,2654
546,Research & Development,Very High,Manager,Excellent,5,2,16555
547,Research & Development,Low,Research Scientist,Excellent,5,4,4556
548,Research & Development,High,Manufacturing Director,Outstanding,5,4,6091
549,Research & Development,Low,Manager,Excellent,29,8,19566
550,Research & Development,High,Manufacturing Director,Excellent,10,7,4810
551,Research & Development,Very High,Healthcare Representative,Excellent,6,5,4523
554,Sales,Low,Sales Representative,Excellent,5,3,3202
555,Sales,Very High,Sales Representative,Excellent,2,2,2351
556,Research & Development,Very High,Laboratory Technician,Outstanding,1,0,1702
558,Sales,High,Manager,Excellent,20,15,18041
560,Research & Development,Low,Research Scientist,Outstanding,3,2,2886
562,Research & Development,High,Laboratory Technician,Excellent,5,3,2097
564,Research & Development,Medium,Research Director,Excellent,10,2,11935
565,Research & Development,High,Research Scientist,Excellent,2,2,2546
566,Human Resources,Low,Human Resources,Excellent,1,0,2564
567,Sales,High,Sales Executive,Excellent,9,8,8412
568,Sales,Low,Manager,Excellent,1,0,14118
569,Research & Development,Medium,Manager,Excellent,27,10,17046
571,Research & Development,High,Laboratory Technician,Excellent,11,7,2564
573,Sales,High,Sales Executive,Excellent,18,13,10266
574,Research & Development,Low,Manufacturing Director,Excellent,5,0,5070
575,Research & Development,Low,Research Director,Excellent,3,2,17861
577,Research & Development,Very High,Laboratory Technician,Excellent,5,4,4230
578,Research & Development,High,Laboratory Technician,Excellent,1,0,3780
579,Research & Development,Very High,Research Scientist,Excellent,7,3,2768
580,Sales,High,Sales Executive,Excellent,3,2,9071
581,Research & Development,High,Manufacturing Director,Outstanding,13,8,10648
582,Research & Development,Medium,Manager,Excellent,7,6,13610
584,Research & Development,Low,Laboratory Technician,Excellent,4,3,3408
585,Sales,Very High,Sales Representative,Excellent,3,2,2983
586,Research & Development,Very High,Healthcare Representative,Excellent,8,7,7632
587,Research & Development,Low,Healthcare Representative,Excellent,1,0,9824
590,Human Resources,Medium,Human Resources,Excellent,3,2,9950
591,Research & Development,Medium,Laboratory Technician,Excellent,2,2,2093
592,Sales,Medium,Sales Executive,Excellent,10,3,9980
593,Research & Development,High,Laboratory Technician,Excellent,2,2,3894
595,Sales,Medium,Sales Executive,Excellent,9,7,4051
597,Sales,Low,Manager,Outstanding,10,9,16835
599,Sales,Very High,Sales Executive,Excellent,14,3,6230
600,Sales,Medium,Sales Executive,Excellent,11,9,4717
601,Research & Development,Medium,Manufacturing Director,Excellent,20,6,13237
602,Research & Development,High,Laboratory Technician,Excellent,8,3,3755
604,Sales,Medium,Sales Executive,Excellent,6,5,6582
605,Research & Development,Very High,Manufacturing Director,Outstanding,10,9,7406
606,Sales,Very High,Sales Executive,Excellent,8,7,4805
608,Human Resources,Medium,Human Resources,Excellent,7,7,2741
611,Research & Development,Very High,Manufacturing Director,Excellent,3,2,4262
612,Research & Development,Low,Research Director,Excellent,6,1,16184
613,Sales,High,Manager,Outstanding,5,4,11557
614,Sales,Medium,Sales Representative,Excellent,0,0,1878
615,Sales,High,Sales Executive,Excellent,1,0,10932
616,Research & Development,Low,Healthcare Representative,Excellent,8,7,6811
618,Sales,Low,Sales Executive,Excellent,0,0,4306
